Красители (E100-E199);E100;Куркумины;"Опасность – низкая.
Цвет – жёлто-оранжевый.
Вкус – горько-жгучий.
Запах – похож на камфару.
Влияние на организм – противораковое, противовоспалительное.
Куркумины — ярко-желтые натуральные красители, получаемые из растения куркумы.
В пищевой промышленности используются два вида красителя E100 — E100i и E100ii."
Красители (E100-E199);E100i;Куркумин;"Опасность – низкая.
Цвет – жёлто-оранжевый.
Куркумин — получаемый из чертополоха и других растений рода Curcuma."
Красители (E100-E199);E100ii;Турмерик;"Опасность – низкая.
Цвет – жёлто-оранжевый.
Турмерик — порошок корня куркумы, содержащий в себе мелкие частицы жировых клеток и желатиноподобную крахмалистую массу."
Красители (E100-E199);E101;Рибофлавины;"Опасность – низкая.
Цвет – жёлтый.
Влияние на организм – влияет на усвоение белка, полезный для щитовидной железы, ногтей, волос, кожи, репродуктивной системы. Участвует в выработке антител и эритроцитов.
Рибофлавины — один из важнейших витаминов, являющийся коферментом многих биологических процессов. Добавка известна как витамин B2.
Рибофлавины подразделяются на 2 типа соединений: Е101(i) — чистый рибофлавин и Е101(ii) — натриевая соль рибофлавин 5-фосфат."
Красители (E100-E199);E102;Тартразин;"Опасность – средняя.
Цвет – золотисто-желтый.
Влияние на организм – вызывает аллергическую сыпь, гиперактивность и нарушение внимания у детей, головные боли, болезни щитовидки.
Тартразин — пищевой краситель синтетического происхождения. В природе в чистом виде не встречается и добывается из отходов производства — каменноугольного дегтя."
Красители (E100-E199);E103;"Алканин,
Алканет";"Опасность – высокая.
Цвет – от золотистого до тёмно-красного.
Влияние на организм – вызывает раздражение слизистых оболочек, канцерогенный.
Алканет, алканин — жирорастворимый краситель, получаемый путём экстракции из корней растения Алкана красильная, произрастающего преимущественно в странах Средиземноморья."
Красители (E100-E199);E104;"Жёлтый
хинолиновый";"Опасность – средняя.
Цвет – жёлто-зелёный.
Влияние на организм – детская гиперактивность, крапивница, воспаление кожи, удушье у астматиков; не подходит людям с непереносимостью аспирина."
Красители (E100-E199);E105;"Жёлтый
прочный AB";"Опасность – высокая.
Цвет – жёлтый.
Влияние на организм – действует токсически на организм, вызывает рост злокачественных образований."
Красители (E100-E199);E106;Рибофлавин-5'-фосфат натрия;"Опасность – высокая.
Цвет – желтый.
Влияние на организм – вызывает недомогания, аллергии, дисфункцию почек, потерю зрения.
В виду того, что свойства натриевой соли рибофлавин-5'-фосфата очень схожи со свойствами пищевого красителя Е101i (рибофлавин-5'-фосфат), чаще данная пищевая добавка маркируется как Е101ii или E101b."
Красители (E100-E199);E107;Жёлтый 2G;"Опасность – высокая.
Цвет – жёлтый.
Влияние на организм – аллерген, запрещён астматикам.
Основным продуктом для получения добавки «Желтый 2G» является каменноугольная смола."
Красители (E100-E199);E110;"Жёлтый
«солнечный закат»";"Опасность – высокая.
Цвет – жёлто-оранжевый.
Влияние на организм – аллергии, тошнота, насморк, отек почек, повреждение хромосом, несварение желудка, нарушение концентрации внимания у детей."
Красители (E100-E199);E111;"Оранжевый GGN,
альфа-нафтол оранжевый";"Опасность – высокая.
Запах – слабый запах фенола.
Цвет – оранжевый.
Влияние на организм – очень токсичный.
Данный краситель получают путём химического синтеза – он синтезируется из нефтяных фракций."
Красители (E100-E199);E116;Пропиловый эфир ;"Опасность – запрещён.
Является консервантом.
Влияние на организм – отравления.

"
Красители (E100-E199);E117;Натриевая соль;"Опасность – запрещён.
Является консервантом.
Влияние на организм – интоксикация.

"
Красители (E100-E199);E120;Кармины;"Опасность – средняя.
Цвет – пурпурно-красный, красный.
Влияние на организм – вызывает аллергии.
Карминовую кислоту, из которой производится добавка Е120, получают из насекомых. Это пигмент тела самок щитовки, или её яиц."
Красители (E100-E199);E121;"Цитрусовый
красный 2";"Опасность – запрещён.
Цвет – тёмно-красный, красный.
Влияние на организм – вызывает рост злокачественных образований."
Красители (E100-E199);E122;"Азорубин,
Кармуазин";"Опасность – высокая, запрещён.
Цвет – красный, тёмно-бордовый.
Влияние на организм – аллергическая сыпь, опасен для людей с астмой и аллергией на аспирин, канцероген.
Азорубин относится к производным каменноугольной смолы."
Красители (E100-E199);E123;Амарант;"Опасность – высокая, запрещён.
Цвет – красно-коричневый, красно-синий, красно-фиолетовый.
Влияние на организм – вызывает аллергический насморк и крапивницу, негативно влияет на почки, печень, нельзя людям с аллергией на аспирин, канцероген, вызывает пороки развития плода.
Амарант относится к производным каменноугольной смолы."
Красители (E100-E199);E124;"Понсо 4R,
Пунцовый 4R";"Опасность – высокая.
Цвет – пунцовый.
Влияние на организм – канцероген, сильный аллерген, может вызвать анафилактический шок, удушье, не подходит людям с непереносимостью аспирина."
Красители (E100-E199);E125;"Понсо SX,
Пунцовый SX";"Опасность – запрещён.
Цвет – красный.
Влияние на организм – негативно влияет на функцию печени, почек, надпочечников, желудочно-кишечного тракта, головного мозга."
Красители (E100-E199);E126;"Понсо 6R,
Пунцовый 6R";"Опасность – высокая, запрещён.
Цвет – красный.
Влияние на организм – канцероген."
Красители (E100-E199);E127;Эритрозин;"Опасность – высокая, запрещён.
Цвет – голубовато-розовый.
Влияние на организм – канцероген, вредное воздействие на сердце, печень, щитовидку, пищеварение, нельзя астматикам."
Красители (E100-E199);E128;Красный 2G;"Опасность – высокая.
Цвет – красные оттенки.
Влияние на организм – вызывает онкологию, неправильное развитие плода, токсичное вещество для генома плода."
Красители (E100-E199);E129;"Красный
очаровательный АС";"Опасность – средняя.
Цвет – тёмно-красный.
Влияние на организм – аллерген, канцероген."
Красители (E100-E199);E130;"Синий
индантрен RS";"Опасность – запрещён.
Цвет – синий.
Влияние на организм – канцероген, сильный аллерген, может вызвать анафилактический шок, удушье, не подходит людям с непереносимостью аспирина."
